business_code,cust_number,name_customer,clear_date,buisness_year,due_in_date,posting_id,baseline_create_date,cust_payment_terms,target,amount_in_usd,cust_payment_terms_grp,baseline_month,baseline_day,baseline_dayofweek,Allowed_Pay_Days
U001,0200769623,WAL-MAR ,2019-01-11,2019.0,2019-01-15,1.0,2018-12-31,NAH4,0,10.32584091455798,NAH4,12,31,0,15
U001,0200769623,WAL-MAR trust,2019-01-11,2019.0,2019-01-15,1.0,2018-12-31,NAH4,0,11.003429789763794,NAH4,12,31,0,15
U001,0200337148,COAS corp,2019-01-15,2019.0,2019-01-15,1.0,2018-12-31,NAA8,0,9.381091920280358,NAA8,12,31,0,15
U001,0200769623,WAL-MAR systems,2019-01-10,2019.0,2019-01-15,1.0,2018-12-31,NAH4,0,6.255097237552238,NAH4,12,31,0,15
U001,0200744019,TARG foundation,2019-01-22,2019.0,2019-01-15,1.0,2018-12-31,NAA8,1,10.942062463592833,NAA8,12,31,0,15
U001,0200726979,BJ'S  llc,2019-01-15,2019.0,2019-01-15,1.0,2018-12-31,NAA8,0,4.744671224765649,NAA8,12,31,0,15
U001,0200794332,COST foundation,2019-01-14,2019.0,2019-01-15,1.0,2018-12-31,NAAX,0,9.667710787153924,NAAX,12,31,0,15
U001,0200756072,REINHA trust,2019-01-16,2019.0,2019-01-15,1.0,2018-12-31,NAA8,1,10.177715016319024,NAA8,12,31,0,15
U001,0200744019,TARG corp,2019-01-22,2019.0,2019-01-15,1.0,2018-12-31,NAA8,1,9.847079092704478,NAA8,12,31,0,15
U001,0200353024,DECA llc,2019-01-15,2019.0,2019-01-24,1.0,2019-01-01,NAM4,0,8.450033638373574,NAM4,1,1,1,23
U001,0200353024,DECA foundation,2019-01-10,2019.0,2019-01-11,1.0,2019-01-01,NAM2,0,8.633722107660184,NAM2,1,1,1,10
U001,0200769623,WAL-MAR llc,2019-01-15,2019.0,2019-01-16,1.0,2019-01-01,NAH4,0,9.611204913688779,NAH4,1,1,1,15
U001,0200458131,TIMES associates,2019-01-16,2019.0,2019-01-16,1.0,2019-01-01,NAA8,0,8.038279585960725,NAA8,1,1,1,15
U001,0200353024,DECA co,2019-01-16,2019.0,2019-01-24,1.0,2019-01-01,NAM4,0,7.436570122107685,NAM4,1,1,1,23
U001,0200769623,WAL-MAR corporation,2019-01-11,2019.0,2019-01-16,1.0,2019-01-01,NAH4,0,9.103390816685568,NAH4,1,1,1,15
U001,0200230690,DECA corp,2019-01-15,2019.0,2019-01-24,1.0,2019-01-01,NAM4,0,4.608763721498222,NAM4,1,1,1,23
U001,0200592182,DECA systems,2019-01-15,2019.0,2019-01-24,1.0,2019-01-01,NAM4,0,9.478035020057856,NAM4,1,1,1,23
U001,0200353024,DECA corporation,2019-01-16,2019.0,2019-01-24,1.0,2019-01-01,NAM4,0,5.115595729732743,NAM4,1,1,1,23
U001,0200769623,WAL-MAR co,2019-01-11,2019.0,2019-01-16,1.0,2019-01-01,NAH4,0,10.915798212283848,NAH4,1,1,1,15
U001,0200769623,WAL-MAR us,2019-01-11,2019.0,2019-01-16,1.0,2019-01-01,NAH4,0,9.740511459731602,NAH4,1,1,1,15
U001,0200803720,DEC corporation,2019-01-15,2019.0,2019-01-24,1.0,2019-01-01,NAM4,0,5.503052518178891,NAM4,1,1,1,23
