business_code,cust_number,name_customer,clear_date,buisness_year,due_in_date,posting_id,baseline_create_date,cust_payment_terms,target_old,amount_in_usd,cust_payment_terms_grp,baseline_month,baseline_day,baseline_dayofweek,Allowed_Pay_Days,business_days_late,target,due_weekend_flag,business_day_gap,amount_bin,cust_allowed_pay_days_late_rate_past,ratio_paid_invoices_late_past,avg_days_late_paid_late_past,sum_outstanding_amount_past,recent_5_late_rate
U001,0200769623,WAL-MAR systems,2019-01-14,2019.0,2019-01-15,1.0,2018-12-31,NAH4,0,9.960323358788289,NAH4,12,31,0,15,-1,0,0,0,2,0.0,0.0,0.0,375.15654765921033,0.0
U001,0200769623,WAL-MAR associates,2019-01-10,2019.0,2019-01-15,1.0,2018-12-31,NAH4,0,11.19542810138644,NAH4,12,31,0,15,-3,0,0,0,3,0.0,0.0,0.0,375.15654765921033,0.0
U001,0200915438,GROC corporation,2019-01-15,2019.0,2019-01-15,1.0,2018-12-31,NAA8,0,10.16737987969017,NAA8,12,31,0,15,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0
U001,0200712105,WALG associates,2019-02-19,2019.0,2019-01-15,1.0,2018-12-31,NAA8,1,8.894217671892552,NAA8,12,31,0,15,25,1,0,0,1,0.0,0.0,0.0,0.0,0.0
U001,0200705742,DOT llc,2019-01-22,2019.0,2019-01-28,1.0,2018-12-31,NA9X,0,8.72385282641596,Other,12,31,0,28,-4,0,0,0,1,0.0,0.0,0.0,0.0,0.0
U001,0200769623,WAL-MAR systems,2019-01-14,2019.0,2019-01-15,1.0,2018-12-31,NAH4,0,9.960323358788289,NAH4,12,31,0,15,-1,0,0,0,2,0.0,0.0,0.0,375.15654765921033,0.0
U001,0200726979,BJ'S  llc,2019-01-15,2019.0,2019-01-15,1.0,2018-12-31,NAA8,0,5.5027265198059965,NAA8,12,31,0,15,0,0,0,0,0,0.0,0.0,0.0,32.35333406999427,0.0
U001,CCU013,KRAFT F systems,2019-03-01,2019.0,2018-12-31,1.0,2018-12-31,NAX2,1,8.8395404239206,NAX2,12,31,0,0,44,1,0,0,1,0.0,0.0,0.0,5.031091302663638,0.0
U001,0200769623,WAL-MAR corp,2019-01-10,2019.0,2019-01-15,1.0,2018-12-31,NAH4,0,8.16894549540759,NAH4,12,31,0,15,-3,0,0,0,0,0.0,0.0,0.0,375.15654765921033,0.0
U001,0200726979,BJ'S  in,2019-01-15,2019.0,2019-01-15,1.0,2018-12-31,NAA8,0,4.226541731833486,NAA8,12,31,0,15,0,0,0,0,0,0.0,0.0,0.0,32.35333406999427,0.0
U001,0200707822,PUBLI ,2019-01-15,2019.0,2019-01-15,1.0,2018-12-31,NAA8,0,11.24993847665048,NAA8,12,31,0,15,0,0,0,0,3,0.0,0.0,0.0,11.61721142349828,0.0
U001,0200726979,BJ'S  corporation,2019-01-15,2019.0,2019-01-15,1.0,2018-12-31,NAA8,0,4.314684186203576,NAA8,12,31,0,15,0,0,0,0,0,0.0,0.0,0.0,32.35333406999427,0.0
U001,0200769623,WAL-MAR in,2019-01-14,2019.0,2019-01-15,1.0,2018-12-31,NAH4,0,10.680230889018274,NAH4,12,31,0,15,-1,0,0,0,2,0.0,0.0,0.0,375.15654765921033,0.0
U001,0200726979,BJ'S  co,2019-01-15,2019.0,2019-01-15,1.0,2018-12-31,NAA8,0,5.378375458718616,NAA8,12,31,0,15,0,0,0,0,0,0.0,0.0,0.0,32.35333406999427,0.0
U001,0200769623,WAL-MAR systems,2019-01-11,2019.0,2019-01-15,1.0,2018-12-31,NAH4,0,10.745718311104598,NAH4,12,31,0,15,-2,0,0,0,3,0.0,0.0,0.0,375.15654765921033,0.0
U001,0200729942,SA us,2019-01-16,2019.0,2019-01-15,1.0,2018-12-31,NAA8,1,8.271348917381195,NAA8,12,31,0,15,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
U001,0200794332,COST foundation,2019-01-14,2019.0,2019-01-15,1.0,2018-12-31,NAAX,0,9.667710787153924,NAAX,12,31,0,15,-1,0,0,0,1,0.0,0.0,0.0,19.84134807372548,0.0
U001,0200705742,DOT systems,2019-01-15,2019.0,2019-01-20,1.0,2018-12-31,NAD1,0,11.460356936764926,NAD1,12,31,0,20,-3,0,1,1,3,0.0,0.0,0.0,0.0,0.0
U001,0200769623,WAL-MAR us,2019-01-10,2019.0,2019-01-15,1.0,2018-12-31,NAH4,0,3.9523968995664194,NAH4,12,31,0,15,-3,0,0,0,0,0.0,0.0,0.0,375.15654765921033,0.0
U001,0200769623,WAL-MAR associates,2019-01-11,2019.0,2019-01-15,1.0,2018-12-31,NAH4,0,9.696371742986615,NAH4,12,31,0,15,-2,0,0,0,1,0.0,0.0,0.0,375.15654765921033,0.0
U001,0200769623,WAL-MAR trust,2019-01-11,2019.0,2019-01-15,1.0,2018-12-31,NAH4,0,10.397693430260963,NAH4,12,31,0,15,-2,0,0,0,2,0.0,0.0,0.0,375.15654765921033,0.0
U001,0200769623,WAL-MAR in,2019-01-10,2019.0,2019-01-15,1.0,2018-12-31,NAH4,0,10.955049113337946,NAH4,12,31,0,15,-3,0,0,0,3,0.0,0.0,0.0,375.15654765921033,0.0
CA02,0140106181,THE  corp,2019-05-01,2019.0,2019-01-10,1.0,2018-12-31,CA10,1,11.388421912771738,CA10,12,31,0,10,79,1,0,0,3,0.0,0.0,0.0,0.0,0.0
U001,0200794332,COST corp,2019-01-14,2019.0,2019-01-15,1.0,2018-12-31,NAAX,0,8.149595958711958,NAAX,12,31,0,15,-1,0,0,0,0,0.0,0.0,0.0,19.84134807372548,0.0
